season_year,date,opponent,venue,result,score,notes,home_away,competition
2025.0,2025-08-26,West De Pere,Home,W,1-0,,,Non-Conference
2025.0,2025-08-28,Wausau West,Home,W,4-0,,,Non-Conference
2025.0,2025-09-02,Neenah,Away,T,0-0,,,Fox Valley Association
2025.0,2025-09-04,Oshkosh North,Home,W,2-1,,,Fox Valley Association
2025.0,2025-09-06,Green Bay East,Neutral,W,8-0,GB East/Manitowoc Tri,,Non-Conference
2025.0,2025-09-06,Manitowoc Lincoln,Away,W,10-0,GB East/Manitowoc Tri,,Non-Conference
2025.0,2025-09-09,Appleton East,Away,W,2-0,,,Fox Valley Association
2025.0,2025-09-11,Fond du Lac,Home,W,2-0,,,Fox Valley Association
2025.0,2025-09-13,Fox Valley Lutheran,Away,W,8-0,,,Non-Conference
2025.0,2025-09-16,Appleton North,Away,W,7-0,,,Fox Valley Association
2025.0,2025-09-19,De Pere,Away,W,3-2,De Pere/Preble/DC Everest Quad,,Non-Conference
2025.0,2025-09-20,Green Bay Preble,Away,W,3-1,De Pere/Preble/DC Everest Quad,,Non-Conference
2025.0,2025-09-23,Appleton West,Home,W,2-1,,,Fox Valley Association
2025.0,2025-09-25,Oshkosh West,Away,W,3-0,,,Fox Valley Association
2025.0,2025-09-30,Kaukauna,Home,W,2-0,,,Fox Valley Association
2025.0,2025-10-04,Marshfield,Away,W,8-0,,,Non-Conference
2025.0,2025-10-07,Kimberly,Away,T,1-1,Won share of first ever FVA Championship,,Fox Valley Association
2025.0,2025-10-11,Notre Dame,Home,W,4-1,,,Non-Conference
2025.0,2025-10-13,DC Everest,Away,T,1-1,,,Non-Conference
2025.0,2025-10-16,Waupaca,Home,W,8-0,,,Non-Conference
2025.0,2025-10-21,Wausau West,Home,W,3-0,D1,,Post Season
2025.0,2025-10-25,Green Bay Preble,Home,W,1-0,D1 ,,Post Season
2025.0,2025-10-30,DC Everest,Home,W,2-1,D1,,Post Season
2025.0,2025-11-01,Hudson,Neutral,T,2-2,D1 - Lost 4-5 in penalty kicks on 6th kick ,,Post Season
2024.0,2024-08-27,Marshfield,Home,W,3-1,,,Non-Conference
2024.0,2024-08-29,Wausau East,Home,W,4-0,,,Non-Conference
2024.0,2024-09-03,Neenah,Home,T,1-1,,,Fox Valley Association
2024.0,2024-09-05,Pulaski,Away,L,0-1,,,Non-Conference
2024.0,2024-09-07,Green Bay East,Away,W,4-0,GB East/Manitowoc Tri,,Non-Conference
2024.0,2024-09-07,Manitowoc Lincoln,Neutral,W,8-0,GB East/Manitowoc Tri,,Non-Conference
2024.0,2024-09-10,Kimberly,Away,T,0-0,,,Fox Valley Association
2024.0,2024-09-12,Kaukauna,Home,W,1-0,,,Fox Valley Association
2024.0,2024-09-17,Fond du Lac,Home,W,4-0,,,Fox Valley Association
2024.0,2024-09-19,Appleton East,Away,W,5-0,,,Fox Valley Association
2024.0,2024-09-21,Green Bay Preble,Home,W,4-1,,,Non-Conference
2024.0,2024-09-24,Oshkosh West,Home,T,1-1,,,Fox Valley Association
2024.0,2024-09-26,Appleton West,Away,T,1-1,,,Fox Valley Association
2024.0,2024-10-01,Oshkosh North,Home,W,6-0,,,Fox Valley Association
2024.0,2024-10-03,West De Pere,Home,W,3-0,,,Non-Conference
2024.0,2024-10-05,Notre Dame,Home,L,2-3,,,Non-Conference
2024.0,2024-10-08,Appleton North,Away,W,1-0,,,Fox Valley Association
2024.0,2024-10-11,Sturgeon Bay,Home,W,7-0,,,Non-Conference
2024.0,2024-10-15,Waupaca,Home,W,6-0,,,Non-Conference
2024.0,2024-10-22,Appleton West,Home,W,4-3,D1,,Post Season
2024.0,2024-10-26,Green Bay Preble,Away,L,0-2,D1,,Post Season
2023.0,2023-08-22,Pulaski,Home,W,1-0,,,Non-Conference
2023.0,2023-08-24,Marshfield,Away,W,4-0,,,Non-Conference
2023.0,2023-08-29,Bay Port,Away,W,2-0,,,Non-Conference
2023.0,2023-08-31,Neenah,Away,T,1-1,,,Fox Valley Association
2023.0,2023-09-05,Kimberly,Home,T,1-1,,,Fox Valley Association
2023.0,2023-09-07,Kaukauna,Away,W,3-1,,,Fox Valley Association
2023.0,2023-09-09,Green Bay East,Away,W,4-1,GB East/Manitowoc Tri,,Non-Conference
2023.0,2023-09-09,Manitowoc Lincoln,Neutral,W,8-0,GB East/Manitowoc Tri,,Non-Conference
2023.0,2023-09-12,Fond du Lac,Home,L,1-3,,,Fox Valley Association
2023.0,2023-09-14,Appleton East,Away,L,0-4,,,Fox Valley Association
2023.0,2023-09-19,Oshkosh West,Home,W,1-0,,,Fox Valley Association
2023.0,2023-09-21,Appleton West,Away,W,6-1,,,Fox Valley Association
2023.0,2023-09-23,Wisconsin Rapids,Home,T,1-1,,,Non-Conference
2023.0,2023-09-26,Oshkosh North,Away,W,5-0,,,Fox Valley Association
2023.0,2023-09-28,West De Pere,Away,L,0-1,,,Non-Conference
2023.0,2023-10-03,Appleton North,Home,L,0-1,,,Fox Valley Association
