season,player_name,class,number,gp,minutes,goals,assists,points,shots,sog,pk,gwg,yc,rc,saves,steals,corner_kicks
2007,Derek Storch,,,23,0,15,2,32,94,59,,,1,0,0,,
2007,Michael Charteris,,,19,0,6,1,13,38,25,,,1,0,0,,
2007,Addison Hellenbrand,,,16,0,4,1,9,29,18,,,1,0,0,,
2007,Mick Harrington,,,18,50,3,2,8,27,15,,,0,0,4,,
2007,Joe Mueller,,,15,0,2,2,6,26,19,,,1,0,0,,
2007,Brett Morth,,,12,0,1,1,3,21,10,,,2,0,0,,
2007,Mitch Neuman,,,5,0,0,0,0,5,3,,,0,0,0,,
2007,Colton Eggen,,,0,0,0,0,0,0,0,,,0,0,0,,
2007,Jake Ziehr,,,6,0,0,0,0,8,3,,,0,0,0,,
2007,Eric Koester,,,1,0,0,0,0,0,0,,,1,0,0,,
2007,Kyle Steingraber,,,0,0,0,0,0,0,0,,,0,0,0,,
2007,Luke Korth,,,4,20,0,0,0,6,1,,,0,0,6,,
2007,Matt Obry,,,11,0,0,1,1,12,5,,,3,0,0,,
2007,Padraic Emerine,,,24,1669,0,0,0,0,0,,,2,0,259,,
2007,Eric Vickers,,,5,0,0,1,1,5,2,,,0,0,0,,
2007,Ben Kellner,,,2,0,0,0,0,3,2,,,0,0,0,,
2007,Taner Rose,,,12,0,0,3,3,16,4,,,0,0,0,,
2007,Josh Foley,,,13,0,0,3,3,17,6,,,0,0,0,,
2007,Alex Eggen,,,0,0,0,0,0,0,0,,,0,0,0,,
2007,Kerscher,Sophomore,,0,0,0,0,0,0,0,,,0,0,0,,
2007,Phil Schumacher,Sophomore,,0,0,0,0,0,0,0,,,0,0,0,,
2007,Adam Schomisch,,,1,12,0,0,0,0,0,,,0,0,3,,
2008,Derek Storch,,,21,0,12,3,27,56,32,,,4,0,0,,
2008,Josh Foley,,,20,0,4,2,10,36,12,,,2,1,0,,
2008,Addison Hellenbrand,,,12,0,4,1,9,24,14,,,2,0,0,,
2008,Spencer Gillespie,,,9,0,3,0,6,11,7,,,0,0,0,,
2008,Mitch Neuman,,,11,0,2,1,5,16,11,,,0,0,0,,
2008,Brett Morth,,,9,0,1,1,3,13,5,,,0,0,0,,
2008,Joe Reed,,,6,0,0,1,1,5,0,,,1,0,0,,
2008,Jon Pethke,,,6,0,0,2,2,6,2,,,0,0,0,,
2008,Ben Kellner,,,4,5,0,0,0,6,3,,,0,0,0,,
2008,Eric Vickers,,,5,0,0,1,1,6,1,,,0,0,0,,
2008,Colton Eggen,,,1,0,0,0,0,0,0,,,1,0,0,,
2008,Phil Schumacher,,,9,10,0,0,0,11,3,,,1,0,3,,
2008,Adam Schomisch,,,16,30,0,1,1,34,15,,,0,0,2,,
2008,Alex Eggen,,,4,0,0,1,1,3,0,,,0,0,0,,
2008,Kyle Steingraber,,,3,0,0,0,0,3,2,,,0,0,0,,
2008,Taylor Kerscher,,,2,0,0,1,1,1,0,,,0,0,0,,
2008,David Quale,,,5,0,0,1,1,3,1,,,3,0,0,,
2008,Travis Watson,,,0,0,0,0,0,0,0,,,0,0,0,,
2008,Padraic Emerine,,,22,1524,0,0,0,0,0,,,2,0,137,,
2008,Coach,,,2,0,0,0,0,0,0,,,2,0,0,,
2009,Derek Storch,,,20,0,15,5,35,68,35,,,5,0,0,,
2009,Adam Schomisch,,,20,31,13,2,28,68,31,,,0,0,3,,
2009,Alejandro Belmar,,,16,0,6,3,15,42,21,,,0,0,0,,
2009,Addison Hellenbrand,,,15,0,3,3,9,29,11,,,0,0,0,,
2009,Joe Reed,,,11,0,3,2,8,16,12,,,0,0,0,,
2009,Mitch Neuman,,,16,0,3,1,7,28,15,,,0,0,0,,
2009,Charlie Carlson,,,17,0,2,0,4,42,18,,,2,0,0,,
2009,David Herrmann,,,7,0,1,2,4,8,4,,,0,0,0,,
2009,Dan Baker,,,12,0,1,4,6,10,4,,,1,0,0,,
2009,Phil Schumacher,,,13,0,0,0,0,15,5,,,0,0,0,,
2009,Ben Kellner,,,5,0,0,1,1,4,4,,,0,0,0,,
2009,David Quale,,,9,0,0,1,1,6,4,,,3,0,0,,
2009,Taylor Kerscher,,,2,0,0,0,0,2,0,,,0,0,0,,
2009,Alex Eggen,,,4,0,0,0,0,5,3,,,0,0,0,,
2009,Brett Morth,,,4,0,0,2,2,0,0,,,2,0,0,,
2009,Travis Watson,,,0,0,0,0,0,0,0,,,0,0,0,,
2009,Steven Huss,,,20,1482,0,0,0,0,0,,,1,0,109,,
2009,Cullin Searl,,,2,0,0,0,0,2,0,,,0,0,0,,
2009,Barry Schomisch,,,3,63,0,0,0,0,0,,,1,0,4,,
2009,Coach,,,1,0,0,0,0,0,0,,,1,0,0,,
2010,Dan Baker,,,20,0,12,2,26,66,41,,,0,0,0,,
2010,Charlie Carlson,,,17,0,3,2,8,33,13,,,3,0,0,,
2010,Adam Schomisch,,,14,255,2,4,8,31,11,,,0,0,25,,
2010,Alejandro Belmar,,,8,0,2,1,5,12,8,,,1,0,0,,
2010,Marco Delbecchi,,,13,0,2,0,4,19,11,,,0,0,0,,
2010,Chase Van Krey,,,18,25,2,0,4,41,24,,,3,0,1,,
2010,Joe Reed,,,12,0,2,3,7,19,6,,,0,0,0,,
2010,Nate LaCoursiere,,,10,0,1,0,2,9,6,,,1,0,0,,
2010,Michael Ziehr,,,11,0,1,0,2,20,7,,,0,0,0,,
2010,Brent Heuer,,,2,0,1,1,3,1,1,,,1,0,0,,
2010,Travis Watson,,,10,0,1,0,2,12,4,,,0,0,0,,
2010,Alex Kaminski,,,2,0,0,1,1,0,0,,,1,0,0,,
2010,David Herrmann,,,4,0,0,1,1,5,1,,,0,0,0,,
2010,Nick Anderson,,,0,0,0,0,0,0,0,,,0,0,0,,
2010,Nathan Ongemach,,,6,80,0,0,0,7,1,,,0,0,6,,
2010,Barry Schomisch,,,18,1368,0,0,0,0,0,,,0,0,111,,
2010,Alex Eggen,,,4,0,0,0,0,5,4,,,0,0,0,,
2010,Chase Wittchow,,,1,0,0,0,0,1,0,,,0,0,0,,
2010,Thomas Garcia,,,1,0,0,0,0,1,1,,,0,0,0,,
2010,Cullin Searl,,,1,0,0,0,0,0,0,,,1,0,0,,
2010,Coach,,,0,0,0,0,0,0,0,,,0,0,0,,
2011,Barry Schomisch,,1,2,,0,2,2,,,0,0,,,,,
2011,Brian Herrmann,,8,1,,1,0,2,,,0,0,,,,,
2011,Ryan Yonekura,,17,2,,0,2,2,,,0,0,,,,,
2011,Kenny Kronemaker,,21,1,,1,0,2,,,0,0,,,,,
2011,Mario Silva,,15,2,,1,2,4,,,0,0,,,,,
